traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
芸豆,芸豆,yun2 dou4],kidney bean,,,,,,,,,,,,,,,,,
芸閣,芸阁,yun2 ge2],royal library,,,,,,,,,,,,,,,,,
芹,芹,qin2],Chinese celery,,,,,,,,,,,,,,,,,
芹菜,芹菜,qin2 cai4],celery (Apium graveolens),,,,,,,,,,,,,,,,,
芻,刍,chu2],to mow or cut grass,hay,straw,fodder,,,,,,,,,,,,,,
芻秣,刍秣,chu2 mo4],hay,fodder,,,,,,,,,,,,,,,,
芻糧,刍粮,chu2 liang2],army provisions,,,,,,,,,,,,,,,,,
芻蕘,刍荛,chu2 rao2],to mow grass and cut firewood,grass mower,woodman,,,,,,,,,,,,,,,
芻議,刍议,chu2 yi4],lit. grass-cutter's comment (humble); fig. my observation as a humble layman,my humble opinion,,,,,,,,,,,,,,,,
芻豢,刍豢,chu2 huan4],livestock,farm animals,,,,,,,,,,,,,,,,
芼,芼,mao4],select,vegetables,,,,,,,,,,,,,,,,
芽,芽,ya2],bud,sprout,,,,,,,,,,,,,,,,
芽苗,芽苗,ya2 miao2],a shoot,a sprout,a seedling,,,,,,,,,,,,,,,
芾,芾,fei4],see 蔽芾[bi4 fei4],,,,,,,,,,,,,,,,,
芾,芾,fu2],luxuriance of vegetation,,,,,,,,,,,,,,,,,
芿,芿,reng4],weeds that regrow from cut-down roots,,,,,,,,,,,,,,,,,
苄,苄,bian4],benzyl (chemistry),,,,,,,,,,,,,,,,,
苄胺,苄胺,bian4 an4],benzylamine C7H9N,,,,,,,,,,,,,,,,,
苉,苉,pi3],picene (C22H14),,,,,,,,,,,,,,,,,
苊,苊,e4],acenaphthene (C12H10),,,,,,,,,,,,,,,,,
苑,苑,Yuan4],surname Yuan,,,,,,,,,,,,,,,,,
苑,苑,yuan4],park,,,,,,,,,,,,,,,,,
苑裡,苑里,Yuan4 li3],Yuanli town in Miaoli county 苗栗縣|苗栗县[Miao2 li4 xian4] northwest Taiwan,,,,,,,,,,,,,,,,,
苑裡鎮,苑里镇,Yuan4 li3 zhen4],Yuanli town in Miaoli county 苗栗縣|苗栗县[Miao2 li4 xian4] northwest Taiwan,,,,,,,,,,,,,,,,,
苒,苒,ran3],luxuriant growth,passing (of time),,,,,,,,,,,,,,,,
苓,苓,ling2],fungus,tuber,,,,,,,,,,,,,,,,
苓雅,苓雅,Ling2 ya3],Lingya district of Kaohsiung city 高雄市[Gao1 xiong2 shi4] south Taiwan,,,,,,,,,,,,,,,,,
苓雅區,苓雅区,Ling2 ya3 qu1],Lingya district of Kaohsiung city 高雄市[Gao1 xiong2 shi4] south Taiwan,,,,,,,,,,,,,,,,,
苔,苔,tai1],coating (of tongue),,,,,,,,,,,,,,,,,
苔,苔,tai2],moss,,,,,,,,,,,,,,,,,
苔蘚,苔藓,tai2 xian3],moss,,,,,,,,,,,,,,,,,
苕,苕,shao2],see 紅苕|红苕[hong2 shao2],,,,,,,,,,,,,,,,,
苕,苕,tiao2],reed grass,Chinese trumpet vine (Campsis grandiflora) (old),,,,,,,,,,,,,,,,
苗,苗,Miao2],Hmong or Miao ethnic group of southwest China,surname Miao,,,,,,,,,,,,,,,,
苗,苗,miao2],sprout,,,,,,,,,,,,,,,,,
苗圃,苗圃,Miao2 Pu3],Miao Pu (1977-) PRC actress,,,,,,,,,,,,,,,,,
苗圃,苗圃,miao2 pu3],plant nursery,seedbed,,,,,,,,,,,,,,,,
苗子,苗子,miao2 zi5],young successor,seedling,sapling,,,,,,,,,,,,,,,
苗家,苗家,Miao2 jia1],see 苗族[Miao2 zu2],,,,,,,,,,,,,,,,,
苗床,苗床,miao2 chuang2],seedbed,,,,,,,,,,,,,,,,,
苗族,苗族,Miao2 zu2],Hmong or Miao ethnic group of southwest China,,,,,,,,,,,,,,,,,
苗期,苗期,miao2 qi1],(agriculture) seedling stage,,,,,,,,,,,,,,,,,
苗栗,苗栗,Miao2 li4],Miaoli city and county in northwest Taiwan,,,,,,,,,,,,,,,,,
苗栗市,苗栗市,Miao2 li4 shi4],Miaoli city in northwest Taiwan capital of Miaoli county,,,,,,,,,,,,,,,,,
苗栗縣,苗栗县,Miao2 li4 xian4],Miaoli county in northwest Taiwan,,,,,,,,,,,,,,,,,
苗條,苗条,miao2 tiao5],(of a woman) slim,slender,graceful,,,,,,,,,,,,,,,
苗裔,苗裔,miao2 yi4],offspring,descendant,progeny,,,,,,,,,,,,,,,
苗頭,苗头,miao2 tou5],first signs,development (of a situation),,,,,,,,,,,,,,,,
苘,苘,qing3],Indian mallow (Abutilon theophrasti),Indian hemp (cannabis),,,,,,,,,,,,,,,,
苘麻,苘麻,qing3 ma2],Indian mallow (Abutilon theophrasti),Indian hemp (cannabis),,,,,,,,,,,,,,,,
苙,苙,li4],(herb),pigsty,,,,,,,,,,,,,,,,
苛,苛,ke1],severe,exacting,,,,,,,,,,,,,,,,
苛刻,苛刻,ke1 ke4],harsh,severe,demanding,,,,,,,,,,,,,,,
苛性,苛性,ke1 xing4],caustic (chemistry),,,,,,,,,,,,,,,,,
苛性鈉,苛性钠,ke1 xing4 na4],caustic soda,sodium hydroxide NaOH,,,,,,,,,,,,,,,,
苛性鉀,苛性钾,ke1 xing4 jia3],caustic potash,potassium hydroxide KOH,,,,,,,,,,,,,,,,
苛捐雜稅,苛捐杂税,ke1 juan1 za2 shui4],exorbitant taxation (idiom),,,,,,,,,,,,,,,,,
苛政猛於虎,苛政猛于虎,ke1 zheng4 meng3 yu2 hu3],tyrannical government is fiercer than a tiger (idiom),,,,,,,,,,,,,,,,,
苛求,苛求,ke1 qiu2],demanding,,,,,,,,,,,,,,,,,
苛責,苛责,ke1 ze2],to criticize harshly,to excoriate,,,,,,,,,,,,,,,,
苜,苜,mu4],clover,,,,,,,,,,,,,,,,,
苜蓿,苜蓿,mu4 xu5],lucerne,alfalfa,,,,,,,,,,,,,,,,
苞,苞,bao1],bud,flower calyx,luxuriant,profuse,,,,,,,,,,,,,,
苞片,苞片,bao1 pian4],bract (botany),,,,,,,,,,,,,,,,,
苞穀,苞谷,bao1 gu3],variant of 包穀|包谷[bao1 gu3],,,,,,,,,,,,,,,,,
苞米,苞米,bao1 mi3],variant of 包米[bao1 mi3],,,,,,,,,,,,,,,,,
苞粟,苞粟,bao1 su4],corn,maize,,,,,,,,,,,,,,,,
苞藏禍心,苞藏祸心,bao1 cang2 huo4 xin1],to harbor evil intentions (idiom); concealing malice,,,,,,,,,,,,,,,,,
苟,苟,Gou3],surname Gou,,,,,,,,,,,,,,,,,
苟,苟,gou3],if,supposing,careless,negligent,temporarily,,,,,,,,,,,,,
苟且,苟且,gou3 qie3],perfunctory,careless,drifting along,resigned to one's fate,improper (relations),illicit (sex),,,,,,,,,,,,
苟且偷安,苟且偷安,gou3 qie3 tou1 an1],seeking only ease and comfort (idiom); making no attempt to improve oneself,taking things easily without attending to responsibilities,,,,,,,,,,,,,,,,
苟且偷生,苟且偷生,gou3 qie3 tou1 sheng1],to drift and live without purpose (idiom); to drag out an ignoble existence,,,,,,,,,,,,,,,,,
苟取,苟取,gou3 qu3],(literary) to extort,to take as bribe,,,,,,,,,,,,,,,,
苟合,苟合,gou3 he2],illicit sexual relations,,,,,,,,,,,,,,,,,
苟同,苟同,gou3 tong2],to agree blindly,,,,,,,,,,,,,,,,,
苟存,苟存,gou3 cun2],to drift through life,,,,,,,,,,,,,,,,,
苟安,苟安,gou3 an1],see 苟且偷安[gou3 qie3 tou1 an1],,,,,,,,,,,,,,,,,
苟富貴，勿相忘,苟富贵，勿相忘,gou3 fu4 gui4 wu4 xiang1 wang4],don't forget your friends when you become rich,,,,,,,,,,,,,,,,,
苟延殘喘,苟延残喘,gou3 yan2 can2 chuan3],to struggle on whilst at death's door (idiom),,,,,,,,,,,,,,,,,
苠,苠,min2],multitude,skin of bamboo,,,,,,,,,,,,,,,,
苡,苡,yi3],common plantain (Plantago major),,,,,,,,,,,,,,,,,
苡米,苡米,yi3 mi3],grains of Job's tears plant 薏苡[yi4 yi3],,,,,,,,,,,,,,,,,
苣,苣,ju4],lettuce see 萵苣|莴苣,,,,,,,,,,,,,,,,,
苣蕒菜,苣荬菜,ju4 mai3 cai4],endive,field sow-thistle,Sonchus brachyotus,,,,,,,,,,,,,,,
苤,苤,pie3],Brassica campestris subsp. rapa,,,,,,,,,,,,,,,,,
苤藍,苤蓝,pie3 lan5],Brassica oleracea,kohlrabi,,,,,,,,,,,,,,,,
若,若,ruo4],to seem,like,as,if,,,,,,,,,,,,,,
若且唯若,若且唯若,ruo4 qie3 wei2 ruo4],if and only if,,,,,,,,,,,,,,,,,
若即若離,若即若离,ruo4 ji2 ruo4 li2],lit. seeming neither close nor distant (idiom),fig. to keep one's distance,(of a relationship) lukewarm,vague,,,,,,,,,,,,,,
若干,若干,ruo4 gan1],a certain number or amount,how many?,how much?,,,,,,,,,,,,,,,
若是,若是,ruo4 shi4],if,,,,,,,,,,,,,,,,,
若有所亡,若有所亡,ruo4 you3 suo3 wang2],see 若有所失[ruo4 you3 suo3 shi1],,,,,,,,,,,,,,,,,
若有所喪,若有所丧,ruo4 you3 suo3 sang1],see 若有所失[ruo4 you3 suo3 shi1],,,,,,,,,,,,,,,,,
若有所失,若有所失,ruo4 you3 suo3 shi1],as if one had lost something (idiom),to look or feel unsettled or distracted,to feel empty,,,,,,,,,,,,,,,
若有所思,若有所思,ruo4 you3 suo3 si1],looking pensive,thoughtfully,,,,,,,,,,,,,,,,
若有若無,若有若无,ruo4 you3 ruo4 wu2],indistinct,faintly discernable,,,,,,,,,,,,,,,,
若望,若望,Ruo4 wang4],John,Saint John,less common variant of 約翰|约翰[Yue1 han4] preferred by the Catholic church,,,,,,,,,,,,,,,
若望福音,若望福音,Ruo4 wang4 Fu2 yin1],Gospel according to St John,,,,,,,,,,,,,,,,,
若無其事,若无其事,ruo4 wu2 qi2 shi4],as if nothing had happened (idiom); calmly,nonchalantly,,,,,,,,,,,,,,,,
若然,若然,ruo4 ran2],if,if so,,,,,,,,,,,,,,,,
若爾蓋,若尔盖,Ruo4 er3 gai4],Zoigê county (Tibetan: mdzod dge rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1] northwest Sichuan,,,,,,,,,,,,,,,,,
若爾蓋縣,若尔盖县,Ruo4 er3 gai4 xian4],Zoigê county (Tibetan: mdzod dge rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1] northwest Sichuan,,,,,,,,,,,,,,,,,
若羌,若羌,Ruo4 qiang1],Chaqiliq nahiyisi or Ruoqiang county in Bayingolin Mongol Autonomous Prefecture Xinjiang 巴音郭楞蒙古自治州[Ba1 yin1 guo1 leng2 Meng3 gu3 Zi4 zhi4 zhou1] Xinjiang,,,,,,,,,,,,,,,,,
若羌縣,若羌县,Ruo4 qiang1 xian4],Chaqiliq nahiyisi or Ruoqiang county in Bayingolin Mongol Autonomous Prefecture Xinjiang 巴音郭楞蒙古自治州[Ba1 yin1 guo1 leng2 Meng3 gu3 Zi4 zhi4 zhou1] Xinjiang,,,,,,,,,,,,,,,,,
若翰,若翰,Ruo4 han4],John (less common form of 若望[Ruo4 wang4] or 約翰|约翰[Yue1 han4]),,,,,,,,,,,,,,,,,
若要人不知，除非己莫為,若要人不知，除非己莫为,ruo4 yao4 ren2 bu4 zhi1 chu2 fei1 ji3 mo4 wei2],If you don't want anyone to know don't do it (idiom). fig. If you do something bad people will inevitably hear about it.,,,,,,,,,,,,,,,,,
若開山脈,若开山脉,Ruo4 kai1 shan1 mai4],Arakan Yoma mountain range in western Myanmar (Burma),,,,,,,,,,,,,,,,,
若隱若現,若隐若现,ruo4 yin3 ruo4 xian4],faintly discernible (idiom),,,,,,,,,,,,,,,,,
若非,若非,ruo4 fei1],were it not for,if not for,,,,,,,,,,,,,,,,
苦,苦,ku3],bitter,hardship,pain,to suffer,to bring suffering to,painstakingly,,,,,,,,,,,,
苦不唧,苦不唧,ku3 bu5 ji1],slightly bitter,,,,,,,,,,,,,,,,,
苦不唧兒,苦不唧儿,ku3 bu5 ji1 r5],erhua variant of 苦不唧[ku3 bu5 ji1],,,,,,,,,,,,,,,,,
苦中作樂,苦中作乐,ku3 zhong1 zuo4 le4],to find joy in sorrows (idiom); to enjoy sth in spite of one's suffering,,,,,,,,,,,,,,,,,
苦主,苦主,ku3 zhu3],victim's family (esp. in murder case),,,,,,,,,,,,,,,,,
苦事,苦事,ku3 shi4],hard job,arduous task,,,,,,,,,,,,,,,,
苦刑,苦刑,ku3 xing2],torture,corporal punishment (traditionally involving mutilation or amputation),,,,,,,,,,,,,,,,
苦力,苦力,ku3 li4],bitter work,hard toil,(loanword) coolie unskilled Chinese laborer in colonial times,,,,,,,,,,,,,,,
苦功,苦功,ku3 gong1],hard work,laborious effort,painstaking work,,,,,,,,,,,,,,,
苦勞,苦劳,ku3 lao2],toil,hard work,,,,,,,,,,,,,,,,
苦參,苦参,ku3 shen1],liquorice (Sophora flavescens) with roots used in TCM,,,,,,,,,,,,,,,,,
苦口,苦口,ku3 kou3],lit. bitter taste (cf good medicine tastes bitter 良藥苦口|良药苦口),fig. earnestly (of warning advice),,,,,,,,,,,,,,,,
苦口婆心,苦口婆心,ku3 kou3 po2 xin1],earnest and well-meaning advice (idiom); to persuade patiently,,,,,,,,,,,,,,,,,
苦味,苦味,ku3 wei4],bitter taste,bitterness,,,,,,,,,,,,,,,,
苦命,苦命,ku3 ming4],hard lot,bitter fate,unfortunate,,,,,,,,,,,,,,,
苦哈哈,苦哈哈,ku3 ha1 ha1],to have difficulty getting by,to struggle (financially etc),,,,,,,,,,,,,,,,
苦因,苦因,ku3 yin1],affliction,,,,,,,,,,,,,,,,,
苦境,苦境,ku3 jing4],grievance,dire straits,,,,,,,,,,,,,,,,
苦大仇深,苦大仇深,ku3 da4 chou2 shen1],great bitterness deep hatred (idiom); deeply ingrained long-standing resentment,,,,,,,,,,,,,,,,,
苦寒,苦寒,ku3 han2],bitter cold,,,,,,,,,,,,,,,,,
苦工,苦工,ku3 gong1],hard labor (in penal code),coolie,,,,,,,,,,,,,,,,
苦差,苦差,ku3 chai1],hard task,difficult mission,arduous and unrewarding undertaking,drudgery,grind,chore,,,,,,,,,,,,
苦差事,苦差事,ku3 chai1 shi5],see 苦差[ku3 chai1],,,,,,,,,,,,,,,,,
苦幹,苦干,ku3 gan4],to work hard,,,,,,,,,,,,,,,,,
苦役,苦役,ku3 yi4],forced labor,corvée,penal servitude,,,,,,,,,,,,,,,
苦待,苦待,ku3 dai4],treat harshly,,,,,,,,,,,,,,,,,
苦心,苦心,ku3 xin1],painstaking effort,to take a lot of trouble,laborious at pains,,,,,,,,,,,,,,,
苦心孤詣,苦心孤诣,ku3 xin1 gu1 yi4],to make painstaking efforts (idiom); after much trouble,to work hard at sth,,,,,,,,,,,,,,,,
苦心經營,苦心经营,ku3 xin1 jing1 ying2],to build up an enterprise through painstaking efforts,,,,,,,,,,,,,,,,,
苦思,苦思,ku3 si1],to think hard,bitter thoughts,to pour out one's sufferings,,,,,,,,,,,,,,,
苦思冥想,苦思冥想,ku3 si1 ming2 xiang3],to consider from all angles (idiom); to think hard,to rack one's brains,,,,,,,,,,,,,,,,
苦悶,苦闷,ku3 men4],depressed,dejected,feeling low,,,,,,,,,,,,,,,
苦情,苦情,ku3 qing2],wretched situation,plight,wretched,miserable,,,,,,,,,,,,,,
苦惱,苦恼,ku3 nao3],vexed,distressed,,,,,,,,,,,,,,,,
苦戰,苦战,ku3 zhan4],bitter struggle,hard battle,arduous effort,,,,,,,,,,,,,,,
苦日子,苦日子,ku3 ri4 zi5],hard times,,,,,,,,,,,,,,,,,
苦杏仁苷,苦杏仁苷,ku3 xing4 ren2 gan1],amygdalin,,,,,,,,,,,,,,,,,
苦果,苦果,ku3 guo3],lit. bitter fruit,fig. painful consequence,,,,,,,,,,,,,,,,
苦根,苦根,ku3 gen1],underlying cause of poverty,,,,,,,,,,,,,,,,,
苦楚,苦楚,ku3 chu3],suffering,misery,pain (esp. psychological),,,,,,,,,,,,,,,
苦楝,苦楝,ku3 lian4],chinaberry (Melia azedarach),,,,,,,,,,,,,,,,,
苦水,苦水,ku3 shui3],bitter water (e.g. mineral water containing sulfates),suffering,digestive fluids rising from stomach to the mouth,fig. bitter complaint,,,,,,,,,,,,,,
苦況,苦况,ku3 kuang4],wretched state,miserable plight,,,,,,,,,,,,,,,,
苦活,苦活,ku3 huo2],bitter work,sweated labor,,,,,,,,,,,,,,,,
苦活兒,苦活儿,ku3 huo2 r5],erhua variant of 苦活[ku3 huo2],,,,,,,,,,,,,,,,,
苦海,苦海,ku3 hai3],lit. sea of bitterness,abyss of worldly suffering (Buddhist term),depths of misery,,,,,,,,,,,,,,,
苦海無邊，回頭是岸,苦海无边，回头是岸,ku3 hai3 wu2 bian1 hui2 tou2 shi4 an4],The sea of bitterness has no bounds turn your head to see the shore (idiom). Only Buddhist enlightenment can allow one to shed off the abyss of worldly suffering.,Repent and ye shall be saved!,,,,,,,,,,,,,,,,
苦海茫茫,苦海茫茫,ku3 hai3 mang2 mang2],sea of bitterness is vast (idiom),,,,,,,,,,,,,,,,,
苦澀,苦涩,ku3 se4],bitter and astringent,pained,agonized,,,,,,,,,,,,,,,
苦熬,苦熬,ku3 ao2],to endure (years of suffering),,,,,,,,,,,,,,,,,
苦瓜,苦瓜,ku3 gua1],bitter melon (bitter gourd balsam pear balsam apple leprosy gourd bitter cucumber),,,,,,,,,,,,,,,,,
苦瓜臉,苦瓜脸,ku3 gua1 lian3],sour expression on one's face,,,,,,,,,,,,,,,,,
苦甘,苦甘,ku3 gan1],bitter sweet,,,,,,,,,,,,,,,,,
苦痛,苦痛,ku3 tong4],pain,suffering,,,,,,,,,,,,,,,,
苦盡甘來,苦尽甘来,ku3 jin4 gan1 lai2],bitterness finishes sweetness begins (idiom); the hard times are over the good times just beginning,,,,,,,,,,,,,,,,,
苦窯,苦窑,ku3 yao2],(slang) prison,,,,,,,,,,,,,,,,,
苦竹,苦竹,ku3 zhu2],bitter bamboo (Pleioblastus amarus),,,,,,,,,,,,,,,,,
苦笑,苦笑,ku3 xiao4],to force a smile,a bitter laugh,,,,,,,,,,,,,,,,
苦練,苦练,ku3 lian4],to train hard,to practice diligently,hard work,blood sweat and tears,,,,,,,,,,,,,,
苦肉計,苦肉计,ku3 rou4 ji4],the trick of injuring oneself to gain the enemy's confidence,CL:條|条[tiao2],,,,,,,,,,,,,,,,
苦膽,苦胆,ku3 dan3],gall bladder,,,,,,,,,,,,,,,,,
苦艾,苦艾,ku3 ai4],wormwood,Artemisia absinthium,,,,,,,,,,,,,,,,
苦艾酒,苦艾酒,ku3 ai4 jiu3],absinthe (distilled anise-based liquor),,,,,,,,,,,,,,,,,
苦苓,苦苓,ku3 ling2],chinaberry (Melia azedarach),,,,,,,,,,,,,,,,,
苦苣,苦苣,ku3 ju4],endive,,,,,,,,,,,,,,,,,
苦苦,苦苦,ku3 ku3],strenuously,persistently,hard,painful,,,,,,,,,,,,,,
苦苦哀求,苦苦哀求,ku3 ku3 ai1 qiu2],to entreat piteously,to implore,,,,,,,,,,,,,,,,
苦菊,苦菊,ku3 ju2],endive,,,,,,,,,,,,,,,,,
苦菜花,苦菜花,Ku3 Cai4 hua1],Bitter Cauliflower 1954 socialist realist novel by Feng Deying 馮德英|冯德英[Feng2 De2 ying1] loosely based on Maxim Gorky's Mother made into a 1967 film by Li Ang,,,,,,,,,,,,,,,,,
苦蕒菜,苦荬菜,ku3 mai3 cai4],Ixeris denticulata,,,,,,,,,,,,,,,,,
苦蘵,苦蘵,ku3 zhi2],cutleaf ground-cherry,Physalis angulata,,,,,,,,,,,,,,,,
苦處,苦处,ku3 chu5],suffering,distress,,,,,,,,,,,,,,,,
苦行,苦行,ku3 xing2],ascetic practice,,,,,,,,,,,,,,,,,
苦行贖罪,苦行赎罪,ku3 xing2 shu2 zui4],penance (to atone for a sin),,,,,,,,,,,,,,,,,
苦衷,苦衷,ku3 zhong1],secret trouble,sorrow,difficulties,,,,,,,,,,,,,,,
苦諫,苦谏,ku3 jian4],to admonish strenuously,,,,,,,,,,,,,,,,,
苦趣,苦趣,ku3 qu4],wretched feelings (opposite: 樂趣|乐趣 delight),,,,,,,,,,,,,,,,,
苦迭打,苦迭打,ku3 die2 da3],coup d'état (loanword),,,,,,,,,,,,,,,,,
苦集滅道,苦集灭道,ku3 ji2 mie4 dao4],the Four Noble Truths (Budd.) namely: all life is suffering 苦 the cause of suffering is desire 集 emancipation comes only by eliminating passions 滅|灭 the way 道 to emancipation is the Eight-fold Noble Way 八正道,also called 四諦|四谛,,,,,,,,,,,,,,,,
苦難,苦难,ku3 nan4],suffering,,,,,,,,,,,,,,,,,
苦難深重,苦难深重,ku3 nan4 shen1 zhong4],deep grief,extensive sorrow,,,,,,,,,,,,,,,,
苦頭,苦头,ku3 tou5],sufferings,,,,,,,,,,,,,,,,,
苧,苎,zhu4],Boehmeria nivea,Chinese grass,,,,,,,,,,,,,,,,
苧麻,苎麻,zhu4 ma2],rush (tall grass),bulrush,Boehmeria,ramie,,,,,,,,,,,,,,
苩,苩,pa1],old variant of 葩[pa1],,,,,,,,,,,,,,,,,
苪,苪,bing3],bright,shining splendid,,,,,,,,,,,,,,,,
苫,苫,shan1],straw mat,thatch,,,,,,,,,,,,,,,,
苯,苯,ben3],benzene,benzol (chemistry),,,,,,,,,,,,,,,,
苯丙氨酸,苯丙氨酸,ben3 bing3 an1 suan1],phenylalanine (Phe) an essential amino acid,,,,,,,,,,,,,,,,,
苯丙胺,苯丙胺,ben3 bing3 an4],amphetamine (medical),,,,,,,,,,,,,,,,,
苯丙酮尿症,苯丙酮尿症,ben3 bing3 tong2 niao4 zheng4],phenylketonuria (medicine),,,,,,,,,,,,,,,,,
苯並噻吩,苯并噻吩,ben3 bing4 sai1 fen1],benzothiophene C8H9 a heterocyclic compound (with one benzene ring and one cyclopentene ring),,,,,,,,,,,,,,,,,
苯乙烯,苯乙烯,ben3 yi3 xi1],Styrene,,,,,,,,,,,,,,,,,
苯基,苯基,ben3 ji1],phenyl group,,,,,,,,,,,,,,,,,
苯氧基,苯氧基,ben3 yang3 ji1],phenoxy (chemistry),,,,,,,,,,,,,,,,,
苯環,苯环,ben3 huan2],benzene ring (chemistry),,,,,,,,,,,,,,,,,
苯環利定,苯环利定,ben3 huan2 li4 ding4],phencyclidine (PCP),,,,,,,,,,,,,,,,,
苯甲酰氯,苯甲酰氯,ben3 jia3 xian1 lu:4],benzoil chloride C6H5COCl,,,,,,,,,,,,,,,,,
苯甲酸,苯甲酸,ben3 jia3 suan1],benzoic acid C6H5COOH,,,,,,,,,,,,,,,,,
苯甲酸鈉,苯甲酸钠,ben3 jia3 suan1 na4],sodium benzoate E211 (a food preservative),,,,,,,,,,,,,,,,,
苯甲醛,苯甲醛,ben3 jia3 quan2],benzaldehyde C6H5CHO the simplest aromatic aldehyde,,,,,,,,,,,,,,,,,
苯胺,苯胺,ben3 an4],aniline C6H5NH2,aminobenzene,,,,,,,,,,,,,,,,
苯那辛,苯那辛,ben3 na4 xin1],benactyzine,,,,,,,,,,,,,,,,,
苯酚,苯酚,ben3 fen1],phenol C6H5OH,,,,,,,,,,,,,,,,,
苯酮尿症,苯酮尿症,ben3 tong2 niao4 zheng4],phenylketonuria (PKU),,,,,,,,,,,,,,,,,
英,英,Ying1],United Kingdom,British,England,English,abbr. for 英國|英国[Ying1 guo2],,,,,,,,,,,,,
英,英,ying1],hero,outstanding,excellent,(literary) flower,blossom,,,,,,,,,,,,,
英仙座,英仙座,Ying1 xian1 zuo4],Perseus (constellation),,,,,,,,,,,,,,,,,
英仙臂,英仙臂,ying1 xian1 bi4],Perseus spiral arm (of our galaxy),,,,,,,,,,,,,,,,,
英代爾,英代尔,ying1 dai4 er3],Intel,,,,,,,,,,,,,,,,,
英俊,英俊,ying1 jun4],handsome,,,,,,,,,,,,,,,,,
英偉達,英伟达,Ying1 wei3 da2],NVIDIA computer graphics card company,,,,,,,,,,,,,,,,,
英兩,英两,Ying1 liang3],British imperial ounce (old),,,,,,,,,,,,,,,,,
英勇,英勇,ying1 yong3],heroic,gallant,valiant,,,,,,,,,,,,,,,
英勇犧牲,英勇牺牲,ying1 yong3 xi1 sheng1],to heroically sacrifice one's life,,,,,,,,,,,,,,,,,
英吉利,英吉利,Ying1 ji2 li4],England (historical loan from English),,,,,,,,,,,,,,,,,
英吉利海峽,英吉利海峡,Ying1 ji2 li4 Hai3 xia2],English Channel,,,,,,,,,,,,,,,,,
英吉沙,英吉沙,Ying1 ji2 sha1],Yéngisar nahiyisi (Yengisar county) in Kashgar prefecture 喀什地區|喀什地区[Ka1 shi2 di4 qu1] west Xinjiang,,,,,,,,,,,,,,,,,
英吉沙縣,英吉沙县,Ying1 ji2 sha1 xian4],Yéngisar nahiyisi (Yengisar county) in Kashgar prefecture 喀什地區|喀什地区[Ka1 shi2 di4 qu1] west Xinjiang,,,,,,,,,,,,,,,,,
英名,英名,ying1 ming2],illustrious name,legendary reputation,,,,,,,,,,,,,,,,
英噸,英吨,Ying1 dun1],tonne,imperial or US tonne equal to 2240 pounds or 1.016 metric tons,,,,,,,,,,,,,,,,
英國,英国,Ying1 guo2],United Kingdom 聯合王國|联合王国[Lian2 he2 wang2 guo2],United Kingdom of Great Britain and Northern Ireland,abbr. for England 英格蘭|英格兰[Ying1 ge2 lan2],,,,,,,,,,,,,,,
英國人,英国人,Ying1 guo2 ren2],British person,British people,,,,,,,,,,,,,,,,
英國工程技術學會,英国工程技术学会,Ying1 guo2 Gong1 cheng2 Ji4 shu4 Xue2 hui4],The Institution of Engineering and Technology (IET),,,,,,,,,,,,,,,,,
英國廣播公司,英国广播公司,Ying1 guo2 Guang3 bo1 Gong1 si1],British Broadcasting Corporation,BBC,,,,,,,,,,,,,,,,
英國廣播電台,英国广播电台,Ying1 guo2 Guang3 bo1 Dian4 tai2],British Broadcasting Corporation,BBC,,,,,,,,,,,,,,,,
英國文化協會,英国文化协会,Ying1 guo2 Wen2 hua4 Xie2 hui4],British Council,,,,,,,,,,,,,,,,,
英國皇家學會,英国皇家学会,Ying1 guo2 Huang2 jia1 Xue2 hui4],Royal Society,,,,,,,,,,,,,,,,,
英國石油,英国石油,Ying1 guo2 shi2 you2],British Petroleum BP,,,,,,,,,,,,,,,,,
英國石油公司,英国石油公司,Ying1 guo2 shi2 you2 gong1 si1],British Petroleum BP,,,,,,,,,,,,,,,,,
英國管,英国管,Ying1 guo2 guan3],English horn,,,,,,,,,,,,,,,,,
英國電訊公司,英国电讯公司,Ying1 guo2 Dian4 xun4 Gong1 si1],British telecom,BT,,,,,,,,,,,,,,,,
英姿颯爽,英姿飒爽,ying1 zi1 sa4 shuang3],(of a person) valiant and formidable-looking,to carry oneself tall,,,,,,,,,,,,,,,,
英宗,英宗,Ying1 zong1],Yingzong Temple name of sixth and eighth Ming emperor Zhengtong 正統|正统[Zheng4 tong3],,,,,,,,,,,,,,,,,
英寸,英寸,ying1 cun4],inch (unit of length equal to 2.54 cm.),,,,,,,,,,,,,,,,,
英尋,英寻,Ying1 xun2],fathom (1.83 meters),,,,,,,,,,,,,,,,,
英尺,英尺,ying1 chi3],foot (unit of length equal to 0.3048 m),,,,,,,,,,,,,,,,,
